,data,local,tipo_leito,total,ocupados,percentual_ocupados
1902,26/07/2020,Interior,Leitos Clínicos,414,161,39%
1903,12/10/2020,Estado,UTI,170,61,36%
1904,12/10/2020,Maceió,UTI,100,31,31%
1905,12/10/2020,Interior,UTI,70,30,43%
1906,12/10/2020,Estado,U intermediária,51,3,6%
1907,12/10/2020,Maceió,U intermediária,37,2,5%
1908,12/10/2020,Interior,U intermediária,14,1,7%
1909,12/10/2020,Estado,Resumo Leitos c/ Respirador,221,64,29%
1910,12/10/2020,Maceió,Resumo Leitos c/ Respirador,137,33,24%
1911,12/10/2020,Interior,Resumo Leitos c/ Respirador,84,31,37%
1912,12/10/2020,Estado,Leitos Clínicos,552,101,18%
1913,12/10/2020,Maceió,Leitos Clínicos,244,48,20%
1914,12/10/2020,Interior,Leitos Clínicos,308,53,17%
1915,27/07/2020,Estado,UTI,281,172,61%
1916,27/07/2020,Maceió,UTI,170,107,63%
1917,27/07/2020,Interior,UTI,111,65,59%
1918,27/07/2020,Estado,U intermediária,51,10,20%
1919,27/07/2020,Maceió,U intermediária,37,8,22%
1920,27/07/2020,Interior,U intermediária,14,2,14%
1921,27/07/2020,Estado,Resumo Leitos c/ Respirador,332,182,55%
1922,27/07/2020,Maceió,Resumo Leitos c/ Respirador,207,115,56%
1923,27/07/2020,Interior,Resumo Leitos c/ Respirador,125,67,54%
1924,27/07/2020,Estado,Leitos Clínicos,994,283,28%
1925,27/07/2020,Maceió,Leitos Clínicos,580,118,20%
1926,27/07/2020,Interior,Leitos Clínicos,414,165,40%
1927,13/10/2020,Estado,UTI,170,60,35%
1928,13/10/2020,Maceió,UTI,100,32,32%
1929,13/10/2020,Interior,UTI,70,28,40%
1930,13/10/2020,Estado,U intermediária,51,1,2%
1931,13/10/2020,Maceió,U intermediária,37,1,3%
1932,13/10/2020,Interior,U intermediária,14,0,0%
1933,13/10/2020,Estado,Resumo Leitos c/ Respirador,221,61,28%
1934,13/10/2020,Maceió,Resumo Leitos c/ Respirador,137,33,24%
1935,13/10/2020,Interior,Resumo Leitos c/ Respirador,84,28,33%
1936,13/10/2020,Estado,Leitos Clínicos,552,100,18%
1937,13/10/2020,Maceió,Leitos Clínicos,244,50,20%
1938,13/10/2020,Interior,Leitos Clínicos,308,50,16%
1939,27/07/2020,Estado,UTI,281,169,60%
1940,27/07/2020,Maceió,UTI,170,105,62%
1941,27/07/2020,Interior,UTI,111,64,58%
1942,27/07/2020,Estado,U intermediária,51,12,24%
1943,27/07/2020,Maceió,U intermediária,37,10,27%
1944,27/07/2020,Interior,U intermediária,14,2,14%
1945,27/07/2020,Estado,Resumo Leitos c/ Respirador,332,181,55%
1946,27/07/2020,Maceió,Resumo Leitos c/ Respirador,207,115,56%
1947,27/07/2020,Interior,Resumo Leitos c/ Respirador,125,66,53%
1948,27/07/2020,Estado,Leitos Clínicos,994,285,29%
1949,27/07/2020,Maceió,Leitos Clínicos,580,120,21%
1950,27/07/2020,Interior,Leitos Clínicos,414,165,40%
1951,021 16:00,Estado,UTI,370,327,88%
1952,021 16:00,Maceió,UTI,216,199,92%
1953,021 16:00,Interior,UTI,154,128,83%
1954,021 16:00,Estado,U intermediária,55,8,15%
1955,021 16:00,Maceió,U intermediária,32,5,16%
1956,021 16:00,Interior,U intermediária,23,3,13%
1957,021 16:00,Estado,Resumo Leitos,425,335,79%
1958,021 16:00,Maceió,Resumo Leitos,248,204,82%
1959,021 16:00,Interior,Resumo Leitos,177,131,74%
1960,021 16:00,Estado,Leitos Clínicos,918,424,46%
1961,021 16:00,Maceió,Leitos Clínicos,556,242,44%
1962,021 16:00,Interior,Leitos Clínicos,362,182,50%
1963,24/10/2020,Estado,UTI,171,60,35%
1964,24/10/2020,Maceió,UTI,100,33,33%
1965,24/10/2020,Interior,UTI,71,27,38%
1966,24/10/2020,Estado,U intermediária,51,2,4%
1967,24/10/2020,Maceió,U intermediária,37,2,5%
1968,24/10/2020,Interior,U intermediária,14,0,0%
1969,24/10/2020,Estado,Resumo Leitos c/ Respirador,222,62,28%
1970,24/10/2020,Maceió,Resumo Leitos c/ Respirador,137,35,26%
1971,24/10/2020,Interior,Resumo Leitos c/ Respirador,85,27,32%
1972,24/10/2020,Estado,Leitos Clínicos,552,105,19%
1973,24/10/2020,Maceió,Leitos Clínicos,244,48,20%
1974,24/10/2020,Interior,Leitos Clínicos,308,57,19%
1975,POR TIPO DE LEITO,Estado,TI,400,111,28%
1976,POR TIPO DE LEITO,aceió,TI,220,55,25%
1977,POR TIPO DE LEITO,terior,TI,180,56,31%
1978,POR TIPO DE LEITO,Estado,intermediária,57,16,28%
1979,POR TIPO DE LEITO,aceió,intermediária,32,13,41%
1980,POR TIPO DE LEITO,terior,intermediária,25,3,12%
1981,POR TIPO DE LEITO,Estado,sumo Leitos c/ Respirador,457,127,28%
1982,POR TIPO DE LEITO,aceió,sumo Leitos c/ Respirador,252,68,27%
1983,POR TIPO DE LEITO,terior,sumo Leitos c/ Respirador,205,59,29%
1984,POR TIPO DE LEITO,itos Clínicos,itos Clínicos,1031,88,9%
1985,28/07/2020,Estado,UTI,281,159,57%
1986,28/07/2020,Maceió,UTI,170,93,55%
1987,28/07/2020,Interior,UTI,111,66,59%
1988,28/07/2020,Estado,U intermediária,51,8,16%
1989,28/07/2020,Maceió,U intermediária,37,7,19%
1990,28/07/2020,Interior,U intermediária,14,1,7%
1991,28/07/2020,Estado,Resumo Leitos c/ Respirador,332,167,50%
1992,28/07/2020,Maceió,Resumo Leitos c/ Respirador,207,100,48%
1993,28/07/2020,Interior,Resumo Leitos c/ Respirador,125,67,54%
1994,28/07/2020,Estado,Leitos Clínicos,994,290,29%
1995,28/07/2020,Maceió,Leitos Clínicos,580,121,21%
1996,28/07/2020,Interior,Leitos Clínicos,414,169,41%
1997,28/10/2020,Estado,UTI,171,63,37%
1998,28/10/2020,Maceió,UTI,100,34,34%
1999,28/10/2020,Interior,UTI,71,29,41%
2000,28/10/2020,Estado,U intermediária,51,1,2%
2001,28/10/2020,Maceió,U intermediária,37,1,3%
2002,28/10/2020,Interior,U intermediária,14,0,0%
2003,28/10/2020,Estado,Resumo Leitos c/ Respirador,222,64,29%
2004,28/10/2020,Maceió,Resumo Leitos c/ Respirador,137,35,26%
2005,28/10/2020,Interior,Resumo Leitos c/ Respirador,85,29,34%
2006,28/10/2020,Estado,Leitos Clínicos,552,95,17%
2007,28/10/2020,Maceió,Leitos Clínicos,244,40,16%
2008,28/10/2020,Interior,Leitos Clínicos,308,55,18%
2009,POR TIPO DE LEITO,Estado,TI,400,105,26%
2010,POR TIPO DE LEITO,aceió,TI,220,57,26%
2011,POR TIPO DE LEITO,terior,TI,180,48,27%
2012,POR TIPO DE LEITO,Estado,intermediária,57,11,19%
2013,POR TIPO DE LEITO,aceió,intermediária,32,11,34%
2014,POR TIPO DE LEITO,terior,intermediária,25,0,0%
2015,POR TIPO DE LEITO,Estado,sumo Leitos c/ Respirador,457,116,25%
2016,POR TIPO DE LEITO,aceió,sumo Leitos c/ Respirador,252,68,27%
2017,POR TIPO DE LEITO,terior,sumo Leitos c/ Respirador,205,48,23%
2018,POR TIPO DE LEITO,itos Clínicos,itos Clínicos,1031,72,7%
2019,30/10/2020,Estado,UTI,171,71,42%
2020,30/10/2020,Maceió,UTI,100,37,37%
2021,30/10/2020,Interior,UTI,71,34,48%
2022,30/10/2020,Estado,U intermediária,51,4,8%
2023,30/10/2020,Maceió,U intermediária,37,1,3%
2024,30/10/2020,Interior,U intermediária,14,3,21%
2025,30/10/2020,Estado,Resumo Leitos c/ Respirador,222,75,34%
2026,30/10/2020,Maceió,Resumo Leitos c/ Respirador,137,38,28%
2027,30/10/2020,Interior,Resumo Leitos c/ Respirador,85,37,44%
2028,30/10/2020,Estado,Leitos Clínicos,552,94,17%
2029,30/10/2020,Maceió,Leitos Clínicos,244,41,17%
2030,30/10/2020,Interior,Leitos Clínicos,308,53,17%
2031,POR TIPO DE LEITO,Estado,TI,400,96,24%
2032,POR TIPO DE LEITO,aceió,TI,220,53,24%
2033,POR TIPO DE LEITO,terior,TI,180,43,24%
2034,POR TIPO DE LEITO,Estado,intermediária,57,15,26%
2035,POR TIPO DE LEITO,aceió,intermediária,32,15,47%
2036,POR TIPO DE LEITO,terior,intermediária,25,0,0%
2037,POR TIPO DE LEITO,Estado,sumo Leitos c/ Respirador,457,111,24%
2038,POR TIPO DE LEITO,aceió,sumo Leitos c/ Respirador,252,68,27%
2039,POR TIPO DE LEITO,terior,sumo Leitos c/ Respirador,205,43,21%
2040,POR TIPO DE LEITO,itos Clínicos,itos Clínicos,1031,68,7%
2041,POR TIPO DE LEITO,Estado,TI,116,31,27%
2042,POR TIPO DE LEITO,aceió,TI,64,24,38%
2043,POR TIPO DE LEITO,terior,TI,52,7,13%
2044,POR TIPO DE LEITO,Estado,intermediária,19,0,0%
2045,POR TIPO DE LEITO,aceió,intermediária,9,0,0%
2046,POR TIPO DE LEITO,terior,intermediária,10,0,0%
2047,POR TIPO DE LEITO,Estado,sumo Leitos c/ Respirador,135,31,23%
2048,POR TIPO DE LEITO,aceió,sumo Leitos c/ Respirador,73,24,33%
2049,POR TIPO DE LEITO,terior,sumo Leitos c/ Respirador,62,7,11%
2050,POR TIPO DE LEITO,itos Clínicos,itos Clínicos,114,21,18%
2051,31/10/2020,UTI,UTI,171,70,41%
2052,31/10/2020,Maceió,UTI,100,36,36%
2053,31/10/2020,Interior,UTI,71,34,48%
2054,31/10/2020,U intermediária,U intermediária,51,4,8%
2055,31/10/2020,Maceió,U intermediária,37,1,3%
2056,31/10/2020,Interior,U intermediária,14,3,21%
2057,31/10/2020,Resumo Leitos c/ Respirador,Resumo Leitos c/ Respirador,222,74,33%
2058,31/10/2020,Maceió,Resumo Leitos c/ Respirador,137,37,27%
2059,31/10/2020,Interior,Resumo Leitos c/ Respirador,85,37,44%
2060,31/10/2020,Leitos Clínicos,Leitos Clínicos,552,91,16%
2061,31/10/2020,Maceió,Leitos Clínicos,244,38,16%
2062,31/10/2020,Interior,Leitos Clínicos,308,53,17%
2063,POR TIPO DE LEITO,Estado,TI,400,96,24%
2064,POR TIPO DE LEITO,aceió,TI,220,53,24%
2065,POR TIPO DE LEITO,terior,TI,180,43,24%
2066,POR TIPO DE LEITO,Estado,intermediária,57,14,25%
2067,POR TIPO DE LEITO,aceió,intermediária,32,14,44%
2068,POR TIPO DE LEITO,terior,intermediária,25,0,0%
2069,POR TIPO DE LEITO,Estado,sumo Leitos c/ Respirador,457,110,24%
2070,POR TIPO DE LEITO,aceió,sumo Leitos c/ Respirador,252,67,27%
2071,POR TIPO DE LEITO,terior,sumo Leitos c/ Respirador,205,43,21%
2072,POR TIPO DE LEITO,itos Clínicos,itos Clínicos,1031,79,8%
2073,POR TIPO DE LEITO,Estado,TI,116,26,22%
2074,POR TIPO DE LEITO,aceió,TI,64,20,31%
2075,POR TIPO DE LEITO,terior,TI,52,6,12%
2076,POR TIPO DE LEITO,Estado,intermediária,19,0,0%
2077,POR TIPO DE LEITO,aceió,intermediária,9,0,0%
2078,POR TIPO DE LEITO,terior,intermediária,10,0,0%
2079,POR TIPO DE LEITO,Estado,sumo Leitos c/ Respirador,135,26,19%
2080,POR TIPO DE LEITO,aceió,sumo Leitos c/ Respirador,73,20,27%
2081,POR TIPO DE LEITO,terior,sumo Leitos c/ Respirador,62,6,10%
2082,POR TIPO DE LEITO,itos Clínicos,itos Clínicos,114,19,17%
2083,6/10/2020,Estado,UTI,171,65,38%
2084,6/10/2020,Maceió,UTI,100,32,32%
2085,6/10/2020,Interior,UTI,71,33,46%
2086,6/10/2020,Estado,U intermediária,51,1,2%
2087,6/10/2020,Maceió,U intermediária,37,1,3%
2088,6/10/2020,Interior,U intermediária,14,0,0%
2089,6/10/2020,Estado,Resumo Leitos c/ Respirador,222,66,30%
2090,6/10/2020,Maceió,Resumo Leitos c/ Respirador,137,33,24%
2091,6/10/2020,Interior,Resumo Leitos c/ Respirador,85,33,39%
2092,6/10/2020,Estado,Leitos Clínicos,552,102,18%
2093,6/10/2020,Maceió,Leitos Clínicos,244,40,16%
2094,6/10/2020,Interior,Leitos Clínicos,308,62,20%
2095,15/04/2021,UTI,UTI,376,320,85%
2096,15/04/2021,Maceió,UTI,216,185,86%
2097,15/04/2021,Interior,UTI,160,135,84%
2098,15/04/2021,U intermediária,U intermediária,57,22,39%
2099,15/04/2021,Maceió,U intermediária,32,15,47%
2100,15/04/2021,Interior,U intermediária,25,7,28%
2101,15/04/2021,Resumo Leitos c/ Respirador,Resumo Leitos c/ Respirador,433,342,79%
2102,15/04/2021,Maceió,Resumo Leitos c/ Respirador,248,200,81%
2103,15/04/2021,Interior,Resumo Leitos c/ Respirador,185,142,77%
2104,15/04/2021,Leitos Clínicos,Leitos Clínicos,966,462,48%
2105,15/04/2021,Maceió,Leitos Clínicos,556,263,47%
2106,15/04/2021,Interior,Leitos Clínicos,410,199,49%
2107,POR TIPO DE LEITO,Estado,TI,400,88,22%
2108,POR TIPO DE LEITO,aceió,TI,220,54,25%
2109,POR TIPO DE LEITO,terior,TI,180,34,19%
2110,POR TIPO DE LEITO,Estado,intermediária,57,12,21%
2111,POR TIPO DE LEITO,aceió,intermediária,32,11,34%
2112,POR TIPO DE LEITO,terior,intermediária,25,1,4%
2113,POR TIPO DE LEITO,Estado,sumo Leitos c/ Respirador,457,100,22%
2114,POR TIPO DE LEITO,aceió,sumo Leitos c/ Respirador,252,65,26%
2115,POR TIPO DE LEITO,terior,sumo Leitos c/ Respirador,205,35,17%
2116,POR TIPO DE LEITO,itos Clínicos,itos Clínicos,1031,78,8%
2117,POR TIPO DE LEITO,Estado,I,116,30,26%
2118,POR TIPO DE LEITO,aceió,I,64,21,33%
2119,POR TIPO DE LEITO,erior,I,52,9,17%
2120,POR TIPO DE LEITO,Estado,intermediária,19,1,5%
2121,POR TIPO DE LEITO,aceió,intermediária,9,1,11%
2122,POR TIPO DE LEITO,erior,intermediária,10,0,0%
2123,POR TIPO DE LEITO,Estado,sumo Leitos c/ Respirador,135,31,23%
2124,POR TIPO DE LEITO,aceió,sumo Leitos c/ Respirador,73,22,30%
2125,POR TIPO DE LEITO,erior,sumo Leitos c/ Respirador,62,9,15%
2126,POR TIPO DE LEITO,itos Clínicos,itos Clínicos,114,24,21%
2127,7/10/2020,Estado,UTI,171,65,38%
2128,7/10/2020,Maceió,UTI,100,33,33%
2129,7/10/2020,Interior,UTI,71,32,45%
2130,7/10/2020,Estado,U intermediária,51,3,6%
2131,7/10/2020,Maceió,U intermediária,37,3,8%
2132,7/10/2020,Interior,U intermediária,14,0,0%
2133,7/10/2020,Estado,Resumo Leitos c/ Respirador,222,68,31%
2134,7/10/2020,Maceió,Resumo Leitos c/ Respirador,137,36,26%
2135,7/10/2020,Interior,Resumo Leitos c/ Respirador,85,32,38%
2136,7/10/2020,Estado,Leitos Clínicos,552,110,20%
2137,7/10/2020,Maceió,Leitos Clínicos,244,50,20%
2138,7/10/2020,Interior,Leitos Clínicos,308,60,19%
2139,19/08/2020,Estado,UTI,281,127,45%
2140,19/08/2020,Maceió,UTI,170,74,44%
2141,19/08/2020,Interior,UTI,111,53,48%
2142,19/08/2020,Estado,U intermediária,51,4,8%
2143,19/08/2020,Maceió,U intermediária,37,3,8%
2144,19/08/2020,Interior,U intermediária,14,1,7%
2145,19/08/2020,Estado,Resumo Leitos c/ Respirador,332,131,39%
2146,19/08/2020,Maceió,Resumo Leitos c/ Respirador,207,77,37%
2147,19/08/2020,Interior,Resumo Leitos c/ Respirador,125,54,43%
2148,19/08/2020,Estado,Leitos Clínicos,994,176,18%
2149,19/08/2020,Maceió,Leitos Clínicos,580,84,14%
2150,19/08/2020,Interior,Leitos Clínicos,414,92,22%
2151,"5/2020, às",Estado,UTI,145,96,66%
2152,"5/2020, às",Maceió,UTI,105,75,71%
2153,"5/2020, às",Interior,UTI,40,21,53%
2154,"5/2020, às",Estado,U intermediária,31,10,32%
2155,"5/2020, às",Maceió,U intermediária,17,10,59%
2156,"5/2020, às",Interior,U intermediária,14,0,0%
2157,"5/2020, às",Leitos Clínicos,Leitos Clínicos,289,154,53%
2158,"5/2020, às",Maceió,Maceió,194,128,66%
2159,8/10/2020,Estado,UTI,171,70,41%
2160,8/10/2020,Maceió,UTI,100,37,37%
2161,8/10/2020,Interior,UTI,71,33,46%
2162,8/10/2020,Estado,U intermediária,51,2,4%
2163,8/10/2020,Maceió,U intermediária,37,2,5%
2164,8/10/2020,Interior,U intermediária,14,0,0%
2165,8/10/2020,Estado,Resumo Leitos c/ Respirador,222,72,32%
2166,8/10/2020,Maceió,Resumo Leitos c/ Respirador,137,39,28%
2167,8/10/2020,Interior,Resumo Leitos c/ Respirador,85,33,39%
2168,8/10/2020,Estado,Leitos Clínicos,552,105,19%
2169,8/10/2020,Maceió,Leitos Clínicos,244,44,18%
2170,8/10/2020,Interior,Leitos Clínicos,308,61,20%
2171,"8/05/2020,",Estado,UTI,145,98,68%
2172,"8/05/2020,",Maceió,UTI,105,75,71%
2173,"8/05/2020,",Interior,UTI,40,23,58%
2174,"8/05/2020,",Estado,U intermediária,31,10,32%
2175,"8/05/2020,",Maceió,U intermediária,17,10,59%
2176,"8/05/2020,",Interior,U intermediária,14,0,0%
2177,"8/05/2020,",Leitos Clínicos,Leitos Clínicos,289,157,54%
2178,"8/05/2020,",Maceió,Maceió,194,128,66%
2179,20/08/2020,Estado,UTI,281,119,42%
2180,20/08/2020,Maceió,UTI,170,66,39%
2181,20/08/2020,Interior,UTI,111,53,48%
2182,20/08/2020,Estado,U intermediária,51,7,14%
2183,20/08/2020,Maceió,U intermediária,37,4,11%
2184,20/08/2020,Interior,U intermediária,14,3,21%
2185,20/08/2020,Estado,Resumo Leitos c/ Respirador,332,126,38%
2186,20/08/2020,Maceió,Resumo Leitos c/ Respirador,207,70,34%
2187,20/08/2020,Interior,Resumo Leitos c/ Respirador,125,56,45%
2188,20/08/2020,Estado,Leitos Clínicos,994,163,16%
2189,20/08/2020,Maceió,Leitos Clínicos,580,76,13%
2190,20/08/2020,Interior,Leitos Clínicos,414,87,21%
2191,19/10/2020,Estado,UTI,171,71,42%
2192,19/10/2020,Maceió,UTI,100,39,39%
2193,19/10/2020,Interior,UTI,71,32,45%
2194,19/10/2020,Estado,U intermediária,51,4,8%
2195,19/10/2020,Maceió,U intermediária,37,2,5%
2196,19/10/2020,Interior,U intermediária,14,2,14%
2197,19/10/2020,Estado,Resumo Leitos c/ Respirador,222,75,34%
2198,19/10/2020,Maceió,Resumo Leitos c/ Respirador,137,41,30%
2199,19/10/2020,Interior,Resumo Leitos c/ Respirador,85,34,40%
2200,19/10/2020,Estado,Leitos Clínicos,552,99,18%
2201,19/10/2020,Maceió,Leitos Clínicos,244,44,18%
2202,19/10/2020,Interior,Leitos Clínicos,308,55,18%
2203,08/06/2020,Estado,UTI,219,166,76%
2204,08/06/2020,Maceió,UTI,154,114,74%
2205,08/06/2020,Interior,UTI,65,52,80%
2206,08/06/2020,Estado,U intermediária,31,13,42%
2207,08/06/2020,Maceió,U intermediária,17,6,35%
2208,08/06/2020,Interior,U intermediária,14,7,50%
2209,08/06/2020,Estado,Leitos Clínicos,826,498,60%
2210,08/06/2020,Maceió,Leitos Clínicos,576,331,57%
2211,08/06/2020,Interior,Leitos Clínicos,250,167,67%
2212,21/08/2020,Estado,UTI,281,109,39%
2213,21/08/2020,Maceió,UTI,170,61,36%
2214,21/08/2020,Interior,UTI,111,48,43%
2215,21/08/2020,Estado,U intermediária,51,7,14%
2216,21/08/2020,Maceió,U intermediária,37,7,19%
2217,21/08/2020,Interior,U intermediária,14,0,0%
2218,21/08/2020,Estado,Resumo Leitos c/ Respirador,332,116,35%
2219,21/08/2020,Maceió,Resumo Leitos c/ Respirador,207,68,33%
2220,21/08/2020,Interior,Resumo Leitos c/ Respirador,125,48,38%
2221,21/08/2020,Estado,Leitos Clínicos,994,164,16%
2222,21/08/2020,Maceió,Leitos Clínicos,580,83,14%
2223,21/08/2020,Interior,Leitos Clínicos,414,81,20%
2224,0/10/2020,Estado,UTI,171,74,43%
2225,0/10/2020,Maceió,UTI,100,40,40%
2226,0/10/2020,Interior,UTI,71,34,48%
2227,0/10/2020,Estado,U intermediária,51,2,4%
2228,0/10/2020,Maceió,U intermediária,37,2,5%
2229,0/10/2020,Interior,U intermediária,14,0,0%
2230,0/10/2020,Estado,Resumo Leitos c/ Respirador,222,76,34%
2231,0/10/2020,Maceió,Resumo Leitos c/ Respirador,137,42,31%
2232,0/10/2020,Interior,Resumo Leitos c/ Respirador,85,34,40%
2233,0/10/2020,Estado,Leitos Clínicos,552,95,17%
2234,0/10/2020,Maceió,Leitos Clínicos,244,42,17%
2235,0/10/2020,Interior,Leitos Clínicos,308,53,17%
2236,08/06/2020,Estado,UTI,219,169,77%
2237,08/06/2020,Maceió,UTI,154,118,77%
2238,08/06/2020,Interior,UTI,65,51,78%
2239,08/06/2020,Estado,U intermediária,31,5,16%
2240,08/06/2020,Maceió,U intermediária,17,3,18%
2241,08/06/2020,Interior,U intermediária,14,2,14%
2242,08/06/2020,Estado,Leitos Clínicos,826,502,61%
2243,08/06/2020,Maceió,Leitos Clínicos,576,330,57%
2244,08/06/2020,Interior,Leitos Clínicos,250,172,69%
2245,POR TIPO DE LEITO,Estado,TI,400,89,22%
2246,POR TIPO DE LEITO,aceió,TI,220,55,25%
2247,POR TIPO DE LEITO,terior,TI,180,34,19%
2248,POR TIPO DE LEITO,Estado,intermediária,57,14,25%
2249,POR TIPO DE LEITO,aceió,intermediária,32,11,34%
2250,POR TIPO DE LEITO,terior,intermediária,25,3,12%
2251,POR TIPO DE LEITO,Estado,sumo Leitos c/ Respirador,457,103,23%
2252,POR TIPO DE LEITO,aceió,sumo Leitos c/ Respirador,252,66,26%
2253,POR TIPO DE LEITO,terior,sumo Leitos c/ Respirador,205,37,18%
2254,POR TIPO DE LEITO,itos Clínicos,itos Clínicos,1031,75,7%
2255,2/08/2020,Estado,UTI,281,113,40%
2256,2/08/2020,Maceió,UTI,170,60,35%
2257,2/08/2020,Interior,UTI,111,53,48%
2258,2/08/2020,Estado,U intermediária,51,4,8%
2259,2/08/2020,Maceió,U intermediária,37,3,8%
2260,2/08/2020,Interior,U intermediária,14,1,7%
2261,2/08/2020,Estado,Resumo Leitos c/ Respirador,332,117,35%
2262,2/08/2020,Maceió,Resumo Leitos c/ Respirador,207,63,30%
2263,2/08/2020,Interior,Resumo Leitos c/ Respirador,125,54,43%
2264,2/08/2020,Estado,Leitos Clínicos,994,175,18%
2265,2/08/2020,Maceió,Leitos Clínicos,580,89,15%
2266,2/08/2020,Interior,Leitos Clínicos,414,86,21%
2267,21/10/2020,Estado,UTI,171,64,37%
2268,21/10/2020,Maceió,UTI,100,32,32%
2269,21/10/2020,Interior,UTI,71,32,45%
2270,21/10/2020,Estado,U intermediária,51,1,2%
2271,21/10/2020,Maceió,U intermediária,37,1,3%
2272,21/10/2020,Interior,U intermediária,14,0,0%
2273,21/10/2020,Estado,Resumo Leitos c/ Respirador,222,65,29%
2274,21/10/2020,Maceió,Resumo Leitos c/ Respirador,137,33,24%
2275,21/10/2020,Interior,Resumo Leitos c/ Respirador,85,32,38%
2276,21/10/2020,Estado,Leitos Clínicos,552,111,20%
2277,21/10/2020,Maceió,Leitos Clínicos,244,47,19%
2278,21/10/2020,Interior,Leitos Clínicos,308,64,21%
2279,"9/05/2020,",Estado,UTI,145,99,68%
2280,"9/05/2020,",Maceió,UTI,105,75,71%
2281,"9/05/2020,",Interior,UTI,40,24,60%
2282,"9/05/2020,",Estado,U intermediária,31,14,45%
2283,"9/05/2020,",Maceió,U intermediária,17,13,76%
2284,"9/05/2020,",Interior,U intermediária,14,1,7%
2285,"9/05/2020,",Leitos Clínicos,Leitos Clínicos,319,164,51%
2286,"9/05/2020,",Maceió,Maceió,204,134,66%
2287,POR TIPO DE LEITO,Estado,I,400,83,21%
2288,POR TIPO DE LEITO,ceió,I,220,52,24%
2289,POR TIPO DE LEITO,rior,I,180,31,17%
2290,POR TIPO DE LEITO,Estado,termediária,57,9,16%
2291,POR TIPO DE LEITO,ceió,termediária,32,8,25%
2292,POR TIPO DE LEITO,rior,termediária,25,1,4%
2293,POR TIPO DE LEITO,Estado,umo Leitos c/ Respirador,457,92,20%
2294,POR TIPO DE LEITO,ceió,umo Leitos c/ Respirador,252,60,24%
2295,POR TIPO DE LEITO,rior,umo Leitos c/ Respirador,205,32,16%
2296,POR TIPO DE LEITO,tos Clínicos,tos Clínicos,1031,76,7%
2297,3/08/2020,Estado,UTI,281,113,40%
2298,3/08/2020,Maceió,UTI,170,59,35%
2299,3/08/2020,Interior,UTI,111,54,49%
2300,3/08/2020,Estado,U intermediária,51,2,4%
2301,3/08/2020,Maceió,U intermediária,37,2,5%
2302,3/08/2020,Interior,U intermediária,14,0,0%
2303,3/08/2020,Estado,Resumo Leitos c/ Respirador,332,115,35%
2304,3/08/2020,Maceió,Resumo Leitos c/ Respirador,207,61,29%
2305,3/08/2020,Interior,Resumo Leitos c/ Respirador,125,54,43%
2306,3/08/2020,Leitos Clínicos,Leitos Clínicos,994,179,18%
2307,3/08/2020,Maceió,Maceió,580,86,15%
2308,2/10/2020,Estado,UTI,171,55,32%
2309,2/10/2020,Maceió,UTI,100,26,26%
2310,2/10/2020,Interior,UTI,71,29,41%
2311,2/10/2020,Estado,U intermediária,51,5,10%
2312,2/10/2020,Maceió,U intermediária,37,3,8%
2313,2/10/2020,Interior,U intermediária,14,2,14%
2314,2/10/2020,Estado,Resumo Leitos c/ Respirador,222,60,27%
2315,2/10/2020,Maceió,Resumo Leitos c/ Respirador,137,29,21%
2316,2/10/2020,Interior,Resumo Leitos c/ Respirador,85,31,36%
2317,2/10/2020,Estado,Leitos Clínicos,552,102,18%
2318,2/10/2020,Maceió,Leitos Clínicos,244,43,18%
2319,2/10/2020,Interior,Leitos Clínicos,308,59,19%
2320,POR TIPO DE LEITO,Estado,I,400,71,18%
2321,POR TIPO DE LEITO,aceió,I,220,43,20%
2322,POR TIPO DE LEITO,terior,I,180,28,16%
2323,POR TIPO DE LEITO,Estado,intermediária,57,12,21%
2324,POR TIPO DE LEITO,aceió,intermediária,32,12,38%
2325,POR TIPO DE LEITO,terior,intermediária,25,0,0%
2326,POR TIPO DE LEITO,Estado,sumo Leitos c/ Respirador,457,83,18%
2327,POR TIPO DE LEITO,aceió,sumo Leitos c/ Respirador,252,55,22%
2328,POR TIPO DE LEITO,terior,sumo Leitos c/ Respirador,205,28,14%
2329,POR TIPO DE LEITO,itos Clínicos,itos Clínicos,1031,70,7%
2330,4/08/2020,Estado,UTI,281,109,39%
2331,4/08/2020,Maceió,UTI,170,59,35%
2332,4/08/2020,Interior,UTI,111,50,45%
2333,4/08/2020,Estado,U intermediária,51,3,6%
2334,4/08/2020,Maceió,U intermediária,37,3,8%
2335,4/08/2020,Interior,U intermediária,14,0,0%
2336,4/08/2020,Estado,Resumo Leitos c/ Respirador,332,112,34%
2337,4/08/2020,Maceió,Resumo Leitos c/ Respirador,207,62,30%
2338,4/08/2020,Interior,Resumo Leitos c/ Respirador,125,50,40%
2339,4/08/2020,Estado,Leitos Clínicos,994,185,19%
2340,4/08/2020,Maceió,Leitos Clínicos,580,88,15%
2341,4/08/2020,Interior,Leitos Clínicos,414,97,23%
2342,5/10/2020,Estado,UTI,171,60,35%
2343,5/10/2020,Maceió,UTI,100,33,33%
2344,5/10/2020,Interior,UTI,71,27,38%
2345,5/10/2020,Estado,U intermediária,51,2,4%
2346,5/10/2020,Maceió,U intermediária,37,2,5%
2347,5/10/2020,Interior,U intermediária,14,0,0%
2348,5/10/2020,Estado,Resumo Leitos c/ Respirador,222,62,28%
